data_structure,time,D,k,N
kdTree,2689,1,1,100000
kdTree,16802,1,2,100000
kdTree,1731483,1,5,100000
kdTree,24849960,1,10,100000
kdTree,55327009,1,20,100000
kdTree,89946321,1,50,100000
kdTree,128475716,1,100,100000
kdTree,4724,2,1,100
kdTree,12367,2,2,100
kdTree,29174,2,5,100
kdTree,52585,2,10,100
kdTree,82914,2,20,100
kdTree,126673,2,50,100
kdTree,170590,2,100,100
kdTree,9705,2,1,1000
kdTree,27310,2,2,1000
kdTree,90277,2,5,1000
kdTree,193160,2,10,1000
kdTree,354088,2,20,1000
kdTree,614353,2,50,1000
kdTree,971032,2,100,1000
kdTree,38326,2,1,10000
kdTree,109156,2,2,10000
kdTree,310949,2,5,10000
kdTree,678527,2,10,10000
kdTree,1283675,2,20,10000
kdTree,2319769,2,50,10000
kdTree,3849283,2,100,10000
kdTree,66565,2,1,100000
kdTree,203722,2,2,100000
kdTree,757397,2,5,100000
kdTree,1888339,2,10,100000
kdTree,3819876,2,20,100000
kdTree,7317578,2,50,100000
kdTree,12690009,2,100,100000
kdTree,6105,3,1,100
kdTree,13781,3,2,100
kdTree,30424,3,5,100
kdTree,53704,3,10,100
kdTree,86329,3,20,100
kdTree,132482,3,50,100
kdTree,180153,3,100,100
kdTree,16505,3,1,1000
kdTree,42629,3,2,1000
kdTree,101841,3,5,1000
kdTree,193745,3,10,1000
kdTree,329895,3,20,1000
kdTree,561530,3,50,1000
kdTree,904967,3,100,1000
kdTree,43579,3,1,10000
kdTree,105627,3,2,10000
kdTree,252735,3,5,10000
kdTree,504390,3,10,10000
kdTree,905087,3,20,10000
kdTree,1626641,3,50,10000
kdTree,2742793,3,100,10000
kdTree,87840,3,1,100000
kdTree,227396,3,2,100000
kdTree,549024,3,5,100000
kdTree,1113129,3,10,100000
kdTree,2077982,3,20,100000
kdTree,3900982,3,50,100000
kdTree,6858568,3,100,100000
kdTree,9019,4,1,100
kdTree,20003,4,2,100
kdTree,38339,4,5,100
kdTree,64673,4,10,100
kdTree,102558,4,20,100
kdTree,156709,4,50,100
kdTree,213595,4,100,100
kdTree,31397,4,1,1000
kdTree,75691,4,2,1000
kdTree,148386,4,5,1000
kdTree,255363,4,10,1000
kdTree,415423,4,20,1000
kdTree,688000,4,50,1000
kdTree,1095177,4,100,1000
kdTree,73123,4,1,10000
kdTree,173517,4,2,10000
kdTree,351997,4,5,10000
kdTree,622414,4,10,10000
kdTree,1039880,4,20,10000
kdTree,1786331,4,50,10000
kdTree,2957480,4,100,10000
kdTree,159172,4,1,100000
kdTree,385014,4,2,100000
kdTree,790200,4,5,100000
kdTree,1389284,4,10,100000
kdTree,2329305,4,20,100000
kdTree,4034236,4,50,100000
kdTree,6764784,4,100,100000
kdTree,10134,5,1,100
kdTree,21503,5,2,100
kdTree,37295,5,5,100
kdTree,60757,5,10,100
kdTree,95049,5,20,100
kdTree,144937,5,50,100
kdTree,195934,5,100,100
kdTree,42492,5,1,1000
kdTree,97702,5,2,1000
kdTree,181689,5,5,1000
kdTree,297282,5,10,1000
kdTree,460449,5,20,1000
kdTree,720552,5,50,1000
kdTree,1090401,5,100,1000
kdTree,121036,5,1,10000
kdTree,275546,5,2,10000
kdTree,516282,5,5,10000
kdTree,851941,5,10,10000
kdTree,1330821,5,20,10000
kdTree,2119778,5,50,10000
kdTree,3303717,5,100,10000
kdTree,228823,5,1,100000
kdTree,554009,5,2,100000
kdTree,1048239,5,5,100000
kdTree,1730212,5,10,100000
kdTree,2717254,5,20,100000
kdTree,4394973,5,50,100000
kdTree,6961135,5,100,100000
kdTree,10761,6,1,100
kdTree,23171,6,2,100
kdTree,41895,6,5,100
kdTree,68289,6,10,100
kdTree,105194,6,20,100
kdTree,158562,6,50,100
kdTree,212593,6,100,100
kdTree,58837,6,1,1000
kdTree,135802,6,2,1000
kdTree,242634,6,5,1000
kdTree,379334,6,10,1000
kdTree,556650,6,20,1000
kdTree,821241,6,50,1000
kdTree,1197718,6,100,1000
kdTree,185275,6,1,10000
kdTree,421303,6,2,10000
kdTree,758895,6,5,10000
kdTree,1207217,6,10,10000
kdTree,1815188,6,20,10000
kdTree,2758129,6,50,10000
kdTree,4096553,6,100,10000
kdTree,425106,6,1,100000
kdTree,970889,6,2,100000
kdTree,1758153,6,5,100000
kdTree,2793916,6,10,100000
kdTree,4204031,6,20,100000
kdTree,6416519,6,50,100000
kdTree,9644699,6,100,100000
kdTree,11636,7,1,100
kdTree,24446,7,2,100
